"","V1"
"11","DCDAABBABAABDCDADBACDACACACCAABDBCBBACDDADBABCCBAABBBBDCBBBCBABCCDBDAABCBCDABDDAAADCACCDABDDCCBDCADDBCAACAACCBDACDDACDDCCDDACAADBCADCDAAABCDBDACBABBDAAACBDDBDDDCADDBBADACACAABBDCDBCBDADBBCAACABDAAADAC"
"12","DBBABCBCACADDDDBCDDADCDDBBBCBCDDBDCBADABBDDACCBDDCCADCBAACDDABDAAADBBADBDABABAACCBACAACBBCACDABBDABCDDDCBACAAAADADBCCADBDADCBABDBBCDACCCBDBBACDCDCBACDCCBAACCBDCCABBDCCDDCDDCCCCAABCDBCADDDDBBAAACADDCDD"
"13","AABCBBBABACBCCBDBAAADBADADBCDDDDBABADDCDCBBCADBADBBBDACBBBBADADACADBDDBCCCDCABAACDBCBCDADABDBCACCBBAAAABCDDBBACBCBDCABBDCDCDCCBDCBDBACBBACBDBBCADDDBDDCCCAACCCACABADCBBCDBDDCCBBAADCBBAACBDDBACBABACCDBB"
"14","ABCBDDBADCDDBCCADDDDCBDCDCCAAAACABADADCBCBACBDCCCABAAABCBABABDDDBBABACCDDABCADBAAADBABABBBAACBAAACABCBBCBDAABCCBBCCABADDBCACABDDBBBBCCDCCBDBCCADDBCCBBBCACBBCCAADCDBDACDAAABADBBCCCADCACDBABCCCAACAADBCA"
"15","BBBDADABCDDDCCAADDBDACDCAAABABDBCDCACBDACCCAABCBACAACBCBDABBCBAAAACAADDDDCADCBADDDBCAADBBCBCADAAACABDCACBCBABABCCBCCBCABCACBDCDDBABCAAACDDABBBADBCADCDDDADDBDBDDDCCCACCBDBCCCDCDBBDACDCACCADBBDDBDBABABA"
"16","CDCBABBBCCCCCCDDABBBAABDDADBDBDCCCDDCADCCBACACDBCCDABAAACDBBACCCCADDADCCDBCAACCBACADAADDDDACBDADBADDBACCCBBCBDBBADACACBCCBBBBDABADCAAABACCCCBAAACCBBDBABAADBDAAABBDDDDACCBDCCADBBDBADBBCCBCBADBDBCDDCADD"
"17","BCBDBCDABDCBDACBDBABCAAAABCBBCDBDDACBABABAAACACDDCAABBBADBDBDDADACACCDBADCBBBDBDAADDAAABAACDCBDDCBBCDCBADADBCBACCABDABAAADABCDDDABDCBADADCABDCBAACBAACCBABCBADBDACABACDCCADBBBCDBCADBBDABBABADBCDDADCCBB"
"18","AADACCCCDABBCCBACCDAAACACBDAADDACCBBADDBCCDCBAABBABBCBADDAADBDDBABDBADADDDCCDADDDCDCBBCCBABCBBCBBDCCCAAABCDBBBBDACCBDDACBDABCABCABDDAADDCDDAAADAABCABDBABBBADCCDACCDDBACDDBBDADADABBDADBACADCCBBADBDCDBD"
"19","BCCABBCBACADBABCBACADAADBBCCDBBCADABBACCACBAAAABBABCADCCCCCADDDDACABBDDCBCDADBBDDDBBDDCBDCCDCBDCDABBBDDCCACDCAAADBCCBBBCCBDBAABDDDDBBCDDADCBACDABAAADAADDDCADBDABABBAACDABCDCCDCBDCCABBBADCBBAACDDCDBBAB"
"20","BCDDCAADBCBCDBBBADDDAACBADDACCDDACDABBBABDACCCCDDBDCAAABAADAADCBDAABBBDACBCBCDCCCBDBCBADDBCCCCADDBCCADDABCABDDBACADABBCCCADCBCDCAADCDCBDDDBCADCBDDBACAAACBBABBBDCCCBBCABBABDDCAAABDBABBACCDBDDDBABACBDCB"
"21","DCBAAABABBAABDAACDCDDAADDDDDCADBDCDBDADBDACABBCACCADACDCAADAABBCBCBBDBCADADBBCADDCDBBACAAADADCBCCCBDADDDCABABBADBACADBCCCAAADDCDDACBAAABCCDACDCCABBBCCBADBDBDACDDBBCACBCBBCDBCCBCBCCAABABAAADBCBBCDBCACA"
"22","DDACADDACDCBADDDBABCAADDDBABBCDADCDABBABAABCCDDCACCAAACDDCADDDADABDBCCBCADAADCCCDBACAACCCCDBDBBCBDBCBAABBADACAADBAAAAABABDDDDBBAAADBBDBBBBADCAADDBCCAAADABADCCABACBADDACBCCCADCCDBBDCAACDCAACCDDCCCDBBDD"
"23","ACBCDDADADABDCCCCCDADCCBDDDDBCAAADDBBDDADBDABCDCCCABBBDCACBADBBBDBDAADADACBDBDBABCCCBDDADDACCCCCBBBADCAABADDAABCCACCDAABBDACDDAAAACABBCBBCCDCDDADBADBADDACAAABDBBBDBDAACDACAADCBBCDCBCBABCABAACCDDAAABAC"
"24","BCDDBCACDDBDCCCCBDCCCDADCCDCDBDBDCDDCABAABBDCBDBBACDAADADBADCCACCDABDBABCDDBDDDBBCDDDDACCCDDBADAACBCDCDBBBCDBBDBABBBBCAACACDBAACDADCDDDACABBADBAABCBDDCCAABCCDDBABBADDADBCDDACDCDACBDBBDBDCACBACABBABCBD"
"25","CBCDBAABCBCDABDBABCCADCADBBBCDDDACBDBBDDBAADDADABBCDBBBDBDCBBCDACDACADBBDDDCDDDCBBADCBCADBAACACBCDACDAACDAABAACCBABDABADACCCCADCCDCACBAAACBCDBDDCDBBDCBABDABDCCCBDBBCADDDDBAADBDBDDDBABDCACBDADCCABACCAC"
"26","BCBBDBCADBBCBCCCBAACDCABBCCACDABCAAACADBDDDCDAABCCACCDAABCBDADCCCADADBCDABCACCCCDCDDCABCDCAADBACDDACAACCADBCADAADAADCBACCBABDBCBADCDABBACCCCBAABBDCDABDBDCDCBBACAAACDBBBADDDAADACBBCADBAABCBDBADDDBCDBAD"
"27","BACBBBDCDDDACBCDBCBBBADCACABCCBDBAADDABBCBCABBBCBDDABDADCBADDADAABDDCAADACAABBCABDADBCCBCCBCABDDCDDDDDAADBBACBADCDBCAAACBCAABBCCDCAABABAABDDDAACBBBCABBBCCCACCCDDBBACACBBDABCDAAABAAACCBAACDDBBADADCABAD"
"28","BBCDBCADDCCDBDCCBACDADCBAAADACCCCADAABAAAACCCBDAADDADDCADDABBADCCACABCDCBCCCADCADAADCBAADABBDCBACDDBBBABDDBDBCDDAABDCABCDBDAACBCBDBCDDBCCBAADAAADCCCAACBDDCABBDDCDABADDCABCADCBADDDADACACABCBCBBCDCACBCB"
"29","DADBDADBCCBBABDBDAABDAABADACBDCBDBDDCADCCBABDDBBACBBAADBBCDDBDCBCDADCBCDDBCBCCDDDDBBADAAACBAACCCDDACDADACCDBDCAABDAAACACADADBCDBDBADDBCDBADADACABAADACADBDACCCBDCBCACACACABDDDDCCACCBABACAACAABDACABDCAA"
"30","CDCDCCCADDDDCADDDBBACBADDDBCDADBDDDBCDBAABCBBACCADBBDCCCDBCDBAADBACADDCDCBAABDBAACCBDBDBBCABDBACCAAABAACABAABADACDDBADBAACCBCABBAACADDCDABDACCCAAABCDBDACBDCCACBDDCABBCABAAADDDABBACCCDDDCBBBACBDBDBCBCB"
"31","CDCBDABAABCBAAABBBADCDDDBBABADCBDDBCAACCABDAADCDDDBCCACABCDAACABADCCBAACDCCADBDABDABDCABBAACCDAABCBDCDBBDBBCABCCBCCBDCDACCDAAAABABBBDBBBCBBCACADADABCBABBDCADDCAADDACDBACDBBCCBDCCCAAABBABBAADCDBABAAACA"
"32","ABDAABBBADBCBBADDACBDBCACDABDAADCCCDBACBDAAACDAAAAADACBCABADBDBBCDCBDBBAAACBACDCCDBBCBCACACBADAAACBBDBADBACBDBACADBDCCBAABBDCCCDBDDCCAADDBBADBBDDBCDDBDAABBDDBCDAAAACBBBAACDDCBABDADDBDBDBABDBBACBDDABBA"
"33","ADDCBABBAABADAACCABBCBBAACCDCACCCBACBDCDDBCAACCBDABDADABDDDCADBBABDBDBDDACBDBCADAACACDCDCDCBDBCCBDDAADDBBBDADCBBBCBCDDDCABADDBDDADDCBBADBBCCDDCADBBABCDDBAAACDCCDACADCDADDBCCDCBBAADADBBCADBAAACBBCDCCAC"
"34","AABDDACDDACBDBCDCADDDDADDBADDBCCADBDDDBCACBBBCDDDABCBDCDCCDCCACCCDDBCDACCADDCAADDCAACBCAACBDCCCBCDDCACAABADDBABAADDACADADCDDDDBBDBADCDACBCDBDACBACBCBBCDCAACDABDDBABACBABADADBACCACADBABDCDDBABAACDABDDB"
"35","CDCACDCCBBDCACBACCABDCABCADABCABDDBDDABAABACDCABCDABBDDBBDCBBDBABBABBDCBBDACACCDABBDDDDDDBCAACCABAAAADACAAADDCBDCDBDDCBBDDCCBAAACCDBACDDCDBDAACDDDACDCBAADDDACBCABABCBDBBAABACBCAACADDCDBBBCCCBAAAABBBBB"
"36","DCBCCCCBBDDACBDAACACCADACADDDDDBBCDCDDBBBADBCCDCDDCBBAAABBADDBCADDBACDDDDBDABDDAADBBAADCCDDABCCCCCABBDDCDDDBADDBBCDBDCCBCBDCCCDBBCCDBCBDBCABCDDADBCBBDDDDBDADBCCDACDBAADCCCADDABDADBDCBCCDBAACCDCACCDCCB"
"37","DCBBAACCAACAADDCACCADADBABDBBCBABBCDDBCAACDACDABCAABACBDBBADACDDDCDBDBDDACDBDCDDBCBDABBACBBCDCDCADABACCCDCCCCCCCDDACCBACCBAAADBCDDABBBDACDADCCBDADBADABADBADDBCDBAABDACABBACACBDCACCACBDCADBBCDCADBACDAD"
"38","ADDCBCCAAADBBCDBABBBAAADBCADBBBCCABABABDCAADADDABDBCCADADBDBBABDBBCBAAAADADBACABDBDDCCDCABBAADCACCABBCAACDADBCBCDDCDCBABADDBACACABCAADBBACABDABCBACCAADBADACBAAABBCBBABABCADBBBCCBDAACACCCDCBADBDCBBBAAA"
"39","ACABCABDBBCBCACCADAACCCABDBCBAABCADCDDDBAADBBCBACACCACDCBDDBBDABCCDACDBBDCDBCDCCBABADDAADDBADDCCCABADADDACADBBBCCBCCCCBDCCCCDCCBDABDCAABCCCAAADDACCADDDAAAABDABCDACBDABCDABBBBCCBCBDBBBABBBDCBBCBBBDABCC"
"40","CBDCCBBBBBABBADDDDBCCDDCDDADBCADAACACCBCBDDABBADCCDADADCCCAAACDCBBCDBCBBBDDBBABDBDCCABCBCBCAADBDADDCACABDBDCDDCABADBCBBCABBCDBBABAAACCBCDCCDDADBAAADAACACCCDACAADCCAAADADCCAADBCDACBAAADCDCBDBBADCDDACBD"
"41","DBBCDDABCACBBDCADDCAABAADBDBACDACDCACCAACDACABBCBDABBCADBDCBBCDAAAAADBCBCABAADBCDBCADAADBCABBDDDCDBDCCAAACCCCBCDADACBDADDABBCDDBDDBCDDAAACDDDCCBADADADADDDABBCBCACDBDDBCABBBAACADACADCAABADACAADCDDDADDC"
"42","DCDADCCCADCCADCDDAABAADCDBCAACCAABACDCCBDBDDADCDBCDDCDADADCAABCCBDAADDCBCDBABABCAACACAAABABBABBABCDBAACBCBAABCCACCABCBCACABBADBCCCCCCCAABBCABDBBABBADAABBDDAABADBDDBCCBCCCCBAAAAABBCDDDDAACDDCDBACACCBCC"
"43","CBBCAABDDAAAADBBCCCBBBAABDDCBABDBCBCABBCBDDCBBADABDDBDCACABBBCCACBCCCBAABADAACACCCBADCDDDBBBACBBCAACACDACCCADDACDDBDDBCDACBDCABACDDCBCCAADACACADABDDBCDCADCAABDDDBCADBCBCDDBADDCBAABCADBDACDBAABCADAABAB"
"44","ACABDBAAADCCCBDBDBCCCCCCDDCBDBBBAADDDDACCABACADCCCBADACADDDDDCCAAADBAADCABBBCCABCBBCCBADCAABCCCADDBCBDDBAAABBADDDBCADCCACACBABDDABBDADADABCDDDBBDABDDADBCBDCDCBACABDAAACCCCBBADADCAABCACDDCCCDDBABDADDDB"
"45","DBCDDACDCDABBABADDBBBDBCCAADBBDDAADBCABADDCDCDAAADCCBCBDABCDCBCCDCDCDCBCCAABCBCBCBDADCBBABDACCADCCDADBBCCCBCADBADDCCCDCADCCBCBCDDCCBDBBABDABABCCDCADBBBCBDADABCCADCABADDBDDBCBCBABDDBDBBCABBBCCADCBDACCB"
"46","DAACBABCDBACCDDCDCAACDDACACAADABCBBBCDACBBADDBDDACDCCDACDDCCAABDCBCBCCDADDBACBCBCABBCABCBDACDDCCBCABBBDAABDDBCDAABBBBBACBCCACDABDCDACCDDCCACBDAADCDDDBDDCCADCDCBBCAABDDABBCBAADDBDDBBDABABBDCBBCBDDCCBCA"
"47","DACDBDBCACCDADCADBACCCCCDDDBACCACCBDCBBBBCDADABDCACDABBBCBCBADABADDBDBABDABBDBADACBDCAADDBBDCADBBBDBCBBCCADCBBADDBAAAAAACDACCCCADCBCBDAACBCDCACBAACDCBBADAAABADBCDBABDAABDCCACADCBAADCCCCCABCAADDACAACBC"
"48","DDDBAABBCABDCCBCBDABCBABBDABCCBDBAADBBADADCCDCADCAAACACCADBDDAACDDBBAAAABAADDBBBACDBCAADACBBDDAADCBCDACBCADBABCADCCBDBDBADCBABDCCABCDABDACADDACADCDBDDDBABBDBADBBACCDCACBDABCBCAABCCCBBDDDBDDDBDABBBBAAD"
"49","ACCCDDDDCCABCCAACDDACDCBDCABDBACCADDABDDCBBDBDBCCCABBDBDAACDCDBCDDDDDDCDBDCCCDBBADCDAACDDAAABCBBBDBACDACDCDDACDCCCBDDAACBCCACBDCDDCCACCDADDBDAACCCCCADBBACCACCABABDBABACBBDBBDABDDABBADCADDDCACADDBBBAAD"
"50","ABACDBACABCBDADDCDCDDBBBCADCABCCCCBDACCCBCCAADAACDDADABABCBBDCAACAABCBDDDCBCCAAAADCCADACCBDCACDBDCCAADCBCBADCDACCCAAABBADDADCDDABCDDACAACCABDBABBADADBADBDADDBCADBBCAACBACBDBDCBADAADAAADABABDDDBCBCADCC"
"51","AABBACCCDBCBDCDAADAAAAABCDDDCDADAADBBBBDBDBABBBDBDADDDDAABABADDCDDAADDDBDBAAAADCADDDCDDCDDBACCDCABBBCCDDACACCACCCACABABDCBAABBCBACCDCAADCBADDCBCBBADDADBDCACCCBDABCBDDBDBAAAABCABBADDDACDCCCCDAACACBAACA"
"52","ACABADADCCDBDBADCCBCCDABDBACBBDAAABCCABACCAAAADCDBCDDCCBCAABCBDDBADDABCCAABABAAADBDBBCBCDBBCBDDCBAADDBADACAACDADACACACBAABAADABAADBDDACAADCBACBBABCCBBCAADDABBAACCCCBCBCBCDDCCADBDABAABABCCCADAACDADADBA"
"53","DDBADDBDAABBBCCADACABCBDDDBBDCDCCACABDDABBDDDCDDBABCCDDBABDBBDDACDDDCBBCCDADAAAAAACCDBAADCCDACABAADACAABBBAABDDBBADDDCDCDBBBACBBCACCCACBDDBCDCDBBBAABBCDABACDCCCDCDDCADBDCDCCADCBAABDCBBCCDACBCBBBDBCAAB"
"54","CBDDCCDCDCADADDBDABBAACDCADABDACBCBCBDBBCCDABAAABACACBADCCDBCADCCBCBABBDBBBDCACCCBCCCABADDBCCBCABBCBDBABBBDDDCDCCDCCDCACBCDDCBBCCCBACCDCCADDCCBAACADCADBDDBAACBBCCDBABDBBBBAADAABDCCCCCDCBDBCCCCBADBBBBC"
"55","ADABDBDDDCBBCACADDDAADABCBBDABDABBCCABADCBACDBAABBCACDBBADDABAADCCBCBBBCDDCDABACDCDABDCDBADDABBACBBCDBADABBBCDCBABDBBADBBDBBACABBCBABCACCBACDCBCCADACABCBDAAADBBBCDADDCBCDDBABBBAAAACBAAAAABDBDABDBCACCB"
"56","CDCBBAADADDCCACDDADAAACBACDBDBDBDDAAADADDDCCBCDCCADBBAABCCBDAADACBACCCCDAABCACBBACDBBBADADCCCCABBDCAADBCDDACCCABCAAACABCCCBCAABCCDDAACDBACCCDCBBADBADBCCCABBDABABBACCBBDCADDCCADCBAAACADDCDACDDBCCBABAAA"
"57","BCDDBCCCADDBCDCDCACCDBCBBDCCDBBDDDABBCABBCAADABADDBBACCAAACBDDBCBABBBCACBBBADDBCACDCDCABDADDADDDACADBDCABCCDCBCADCBDDDBDDCBBCCADABBDCDBBCACDBCBBADADADBAABABDBBBAABCAACBCCCBCBDACDDBADCCABDBBDCDBACDBCDA"
"58","BBCBBACBACCABADACBBADACBBBBDCABDBBCBDDDAADCADDAADACBCBACAABADAADCDDAACABBACBCBAACBDACDACDCBABBACCBBACDBABDBCDABDDCCDDDBBAABACDAADDDBCBDCDADCDABDBBCCCDACCBDDABCBCBDBAADDBBBABCACBCABBBDBADDAAAABCABDDCDD"
"59","ACAABACCBCDDCBACBCBCCBBDDCABBDDCDCDACCCDDDACDAADCBCACADADDCBBCBDAADAAADCCBBABACAACDADBDCDDCBBCAACCBDDDCBBCBDBDADABBCADACACDCDCCAABCBADBBCCDDBDCDAABDCAABDCCADDDCABACDABBBBCDBBDBDCDBABBDBBADABBCDADADCDB"
"60","ACDACDDCDDACACDADCABBCADDBBAABCABBACADBBAAADCAADBBCDDCDCCBAACCAAADADACBABCCCBCBBADBCBDDADCDDCDCDBBCACBDDADBBCABDAACCBCBCABCBBDCDADABABCBDBBBADBCDDAADDCDACBCDDADCCBCBADBBCCCDAAACCBBDCBBACAABACBBADBCDDD"
"61","DDAACBABCCDBBCBABAAAAABDDBCBACCDBDADBCADABABADDBCDDBACBADAAACCADBBACCABABADAABAABDDBAABACADAABBACACACDACCCCCDADABDACCBAADDACACBACDCCCDCDABDDBCBCDCDCDCDDDADCBCBCDADDCACDAACABABCDCABACDCACBCCCDBCDCAADAD"
"62","ABBCCDCADDDBCABAADACBDDADDCDCADACACBADCDCDADBCBBDCDBBAAAABABBBABDCDDDAABBDBCADBBDABBDDBBCDABDCCDBBDCDAACACCCDBAABCCBCACBCACCBDDCBAACABCCCCAAACADBDABBBDCACBCDABADCDCBCDBACDBAABBCDCBCDCDBDBAABCABABCACAC"
"63","ABADBDBCCACCBAABADDBADBBDAACBBDDDBAAADAABABBDABDBAABBADCCBBBAAACDACBABBACCDBABCBBBACABADADDCCBAAABADADDCCAADBBDDACDDBACDDDADADCACDBBADCBADBDCDBDCDBADCDCCCADAABCADDCDCDABCDDACCBDAABCDBCBCDAACDDBDDAABDA"
"64","DCBABDCCBDADBDDCABCDDADABBDCDADDCAADBDCBBCCCCDAABCCADBDCDAADDADDBBAAAABBDABDCABABDBCBADBABDDBAADDCCABBBCDAADDDBACBCAACABCBCBBAACDDBCAAAACDACCBBDBACCBACDBBDBDDAACCCBDCDBCABBACACBABDDADACDDDDCCBDDBBCBAA"
"65","ACCABADBCDDDDBCCBDDBAADABADBBBCADABCBDDABBACADDDBDBBDDCDBBCCBCCCBABCCCCBCADDADCADCAAABCCDDDACABDADABAACDBCADBBCBBBCACABACDBDADDAADBCDBCACADAADADBACBCDBBCAAADBBDBABDCBADCBABBCCBCCDAAACBACDDDDDBADACBCDB"
"66","DBBCCCADADDCDDDACDBCABCBACCBBCCADAABBBCCACCCCABBDADABCDCCCBDCBABBBCCDDDABADABCADCDADABDDACDAACDABCDBADBDABCDCCCBBCBCAADADCBCDCBBCDBBDBAAABDBAABDBDABDCCCDCCABDACDCADABBCAAAABBDAACCDBDDCCBBCBDADBABABCDA"
"67","BDDAADBBDACABBCAABBBAABBCDAABBABBDABDBDBBCBBCBCBCDABDBCDADACCCADCBCDDDADADABAAABBBBCBBDBDBDBADCBABDCDCBBDDBBCACBDDCDBDCBDADCDAADBCDADDCABBACACACBAAABACAAADDCACADDBDBADBDBBBCCCAADACDDBCACACDBDDAADCADAD"
"68","DBABDDBADCAAABCBBCBABACDBCBCADDBDBCACDABDCDABDDAACABADDDCABDDDACCDCCDACBCDBDDBBBDBDCDDDBCBCBDDCAABBDABCBDDCCADCADBCDDDAADDCBBAAADDDBBADABBBABDCBBDDDAADBCAACACADAADBDCACAACCDDAACDCCABDDABAAABDCCCAABAAD"
"69","BDBDCBAADBBBDBABACADCDCABBBCABCACCBCBAAACDAABACCBBDDCDCADCDDCCDDDADADCBDABDDCBCADCCAAADCADACDBCDCCDDDAACBDCCDABBDDACBCBDDDCDBDAAABCCDBDDCBDBDDDBCDDBDCCAABDDBDAAACCACDCBBBBAACADADCBBBDABABDCBDCBBCBADCA"
"70","DADBBDBDBBBDDCBAAAACDCDBDCAACCDCCBBCABCBBBBBBDACBCCBCADABDABBBBCBBDBDDBCACCBADCABBCBDBABBCBACBDBDDBAADBABCBABABACACBDCBDCDDAAAAACBAABBADDBDCACBDBCBACBDDDADBBBAACACBAADDBBADACCBAAAABAAABCCDBDBBABDBBCAB"
"71","BADBCCDACACADCCBABBDBCDCCCADABBCACBACDDAADBDDBDAACDDDBDBDBDACADDACABBBABABDDBBCBCDCAAAABBDBADDCAADACDAADDBCAACABDDBCDAAAABBBDDABBBAABDBBCAACCCAABCDBCDDBDACACAAACBCACBCACDABBCDBDBACCBCDCCBBBCACDCDBDABC"
"72","ACACCDDBDCBDCCCBADDADDBDCCCCBDCDDBABCCCABADDCBAADABCDCCCBADDDDCADCADCBABCBABDCABCCCDBDACCBAAACADDDBAABADDCCBABCBDCBABCCCBCCCDCAABBDAABCCBCBACCDDCBCBDBCCCADBDDCCDACCCBBDDCCCDBCBBBAABACAABDCCDAADCABDDCB"
"73","BBDDDBBDBBBDDDCDAABBABCABDCCBCBBDACABAADACCCBCCDCBCAACCCABCBBDDABABDCCCCBABDCBCCDCACDBCDABACADAABABACCDAAADBDACCBADBCDBDDACBADACCACACBBCCCDBDACBDBBBDBDDADDABCDCCBBACCBCADACABAABDBAABBBDCBDDCDCBDCCBDBA"
"74","CDADBAAAADABCDDCBBCBACBACCBDCCAABBDCADCCCADBDABCDCAABDCBBCBAADDCADCAABBABBBCBDBDABDAABCCCBCDCDABDDACCDBBABDCACCDABBBBDDADADAABBCDCABDACCBDCCBDDCCBDDADACDDCDBCBBBBDCADDDCDCCDABADADABCADCBABABBACACBCDDA"
"75","AADABDAACCADACABBDADCACACBDCBBBDCCACBAAACCDAADDCDDCCBBBDDBDBDBDAACBCCBCDACDBBABBBDCADCDAADBDABAAADAADABBBCCDDCAABCCCCBBCBAABCDBADCDADAACADADACACCACBDCABABDDCCCAABDABAAADBBBDABCBAADDDACACBDDBAADCDBDAAB"
"76","BDBBDBABACDDCDBDAAACBADACCDDCDABCABBCABDDBCDADBADCCDACAACCADBBCCDCCADDACDBBDAABACDBCCDCBDCBAACCBCCAABBACBCDBDCBADCABDCACCCCDCDDCDCBCCBADADDCBCCBBDBDAADBADDDCDADCCBCADBCBABACAAACCDDACBADADBDACADDBCCADB"
"77","CDBCACBDCBADAADCDCABBDACBAABCBACAACCACDCBDDCDBCBDADABBBDDBAABADDCAADADADCCADCDADABCBBBACDCDDCACABCBBBACADBCBABCBDBADCDCAACBCBADBABDCCCAADCADADCCDCADDCDCDBCCACDADDCCCACCBADCBCADDCDBCACADBBCDAADABCCADCC"
"78","ACABBBCCADAACBBADCDDADDBBBBCACABDDDBCDDBDDAADADABABDCDABADABCBADCCCBCABCCABAAABCACCCDDADADBBACBADBCCCBCBAADDCAABDBDDADCDDDCBADCACDDADBDCDCBCDADDDBBCBADAAACBDBBCDBACCCAACDACAAACDACDDBCAADBCACDDDDAADBAA"
"79","CCDACBBADDAACCCDBCCBBADBBDADCBDDCDBDBCBCAAABABABDADBDAABCACCCABABBCCCCBACCBADDDDDAACCCCACAADCBCAAABCBBBADBDCCCDABCACBBDABAABBCADBABCBCDABCCBCDABCDBAAACADACDDDAABCDCBCCDBBAACABDCCDACCCACBACDCCDDADDCBBD"
"80","BDBDBADCCCDADBBCDADBDBCCDDBBBBCABCCDDABADBBACCBBBBDDDBADCDDCCABBACCDBBDBDADACDAABBCCCCBBBCBDBDDCCDBAABBCDADCCAADDACCDCDCCDCCBDCCBBDCABACBCBBDBBDCCCCACAAADDDBDDDDACADCDCCCDABCBDDBBBDDDDBDBCBBCABCCDBAAA"
"81","ADCAABCACBAACBADAABDAACDCBDCDABDDDAADCBCACCADBCCBBADAABDAADDCAADADBBABDCCABADCACCDBADBDBCCBBBBDABDACCBCAABACDCABBABCDDCCDCADABABCADDCABBBAAADCBCABCDAAAAABCDCCABBDCBBBCBDDDDDDBABDCCCCBCDACDDCDACABBCBAB"
"82","AABADACDBBDDCBCDABBDAACDBBCCBABCBCCCADBCDBCDABBBDABDBCAACDDBDDDDABCADABABCBDADDADBDDBCACDCADCDBACDCBBCCAACADCABDDBADCAADACAAABCDCACDBDABDBADDAAABCABBCBCDDACADDAADBADDCCCCCDBCADADCDAACDCBAABDCCCBDBDDCD"
"83","DCBBDDADADBACCDBDDDBADBDBBBCDACBBABADDBBCBBDABCCDDBCACDDCDDABDDCDDADABAABDCBABABDDCAABBABDCCAACBBBAACCCCDCAADDDCDCCDCCCCADCCBDBBDDDBDDCDDDCBDCBDBBABCADCCBDDAABBBDDCCBDCCCCADABABBBADABBABDCCBBDBACABCAD"
